Loading files
Loading windows...
Cross-validation fold:  0
{'fold': 1, 'epoch': 1, 'batch': 12, 'train_loss': 1.0845788633450866, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 10.020902633666992, 'mixture_weights_1': 4.92002010345459, 'mixture_weights_2': 3.6434504985809326, 'mixture_weights_3': 5.339212417602539, 'mixture_weights_4': 5.488277435302734, 'mixture_weights_5': 4.012597560882568, 'mixture_means_1': 0.000729981402400881, 'mixture_means_2': 0.022476376965641975, 'mixture_means_3': 0.0007215737132355571, 'mixture_means_4': 0.001430155010893941, 'mixture_means_5': 0.014609402976930141, 'mixture_scales_1': 0.00237287487834692, 'mixture_scales_2': 0.00027825773577205837, 'mixture_scales_3': 0.004970999900251627, 'mixture_scales_4': 0.002206682926043868, 'mixture_scales_5': 0.004916924983263016, 'learning_rate': 0.31381059609000017}
{'fold': 1, 'epoch': 1, 'batch': 13, 'train_loss': 1.0885287746787071, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 10.056031227111816, 'mixture_weights_1': 5.061871528625488, 'mixture_weights_2': 3.6973319053649902, 'mixture_weights_3': 5.462913990020752, 'mixture_weights_4': 5.630980968475342, 'mixture_weights_5': 4.080631732940674, 'mixture_means_1': 0.0007275187526829541, 'mixture_means_2': 0.022761518135666847, 'mixture_means_3': 0.0007199100218713284, 'mixture_means_4': 0.0014317082241177559, 'mixture_means_5': 0.014853039756417274, 'mixture_scales_1': 0.002516484819352627, 'mixture_scales_2': 0.00026720078312791884, 'mixture_scales_3': 0.005478162318468094, 'mixture_scales_4': 0.0024579062592238188, 'mixture_scales_5': 0.005238687619566917, 'learning_rate': 0.28242953648100017}
{'fold': 1, 'epoch': 1, 'batch': 14, 'train_loss': 1.0943531600059941, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 10.083870887756348, 'mixture_weights_1': 5.185035705566406, 'mixture_weights_2': 3.740633249282837, 'mixture_weights_3': 5.564183235168457, 'mixture_weights_4': 5.751708984375, 'mixture_weights_5': 4.132068157196045, 'mixture_means_1': 0.0007256461540237069, 'mixture_means_2': 0.02298866957426071, 'mixture_means_3': 0.0007186354487203062, 'mixture_means_4': 0.0014329280238598585, 'mixture_means_5': 0.015044646337628365, 'mixture_scales_1': 0.0025734754744917154, 'mixture_scales_2': 0.0002570156066212803, 'mixture_scales_3': 0.005906309001147747, 'mixture_scales_4': 0.0026736340951174498, 'mixture_scales_5': 0.00539214164018631, 'learning_rate': 0.25418658283290013}
{'fold': 1, 'epoch': 1, 'batch': 15, 'train_loss': 1.0902514208573848, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 10.105997085571289, 'mixture_weights_1': 5.2930498123168945, 'mixture_weights_2': 3.775472402572632, 'mixture_weights_3': 5.64731502532959, 'mixture_weights_4': 5.854563236236572, 'mixture_weights_5': 4.170289039611816, 'mixture_means_1': 0.0007242016145028174, 'mixture_means_2': 0.02317037060856819, 'mixture_means_3': 0.0007176462095230818, 'mixture_means_4': 0.0014338816981762648, 'mixture_means_5': 0.015194655396044254, 'mixture_scales_1': 0.0025523698423057795, 'mixture_scales_2': 0.00024776405189186335, 'mixture_scales_3': 0.006263310089707375, 'mixture_scales_4': 0.0028540075290948153, 'mixture_scales_5': 0.005418580491095781, 'learning_rate': 0.22876792454961012}
{'fold': 1, 'epoch': 1, 'batch': 16, 'train_loss': 1.1009125257842243, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 10.123560905456543, 'mixture_weights_1': 5.387848377227783, 'mixture_weights_2': 3.8035342693328857, 'mixture_weights_3': 5.7156758308410645, 'mixture_weights_4': 5.942286491394043, 'mixture_weights_5': 4.198276519775391, 'mixture_means_1': 0.0007230743649415672, 'mixture_means_2': 0.023316191509366035, 'mixture_means_3': 0.000716870476026088, 'mixture_means_4': 0.0014346307143568993, 'mixture_means_5': 0.015311629511415958, 'mixture_scales_1': 0.0024814114440232515, 'mixture_scales_2': 0.00023946748115122318, 'mixture_scales_3': 0.0065586743876338005, 'mixture_scales_4': 0.003002468030899763, 'mixture_scales_5': 0.005356580950319767, 'learning_rate': 0.2058911320946491}
{'fold': 1, 'epoch': 1, 'batch': 17, 'train_loss': 1.1005421907175332, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 10.137499809265137, 'mixture_weights_1': 5.4722418785095215, 'mixture_weights_2': 3.826117753982544, 'mixture_weights_3': 5.772051811218262, 'mixture_weights_4': 6.017756462097168, 'mixture_weights_5': 4.218143463134766, 'mixture_means_1': 0.0007221862906590104, 'mixture_means_2': 0.023433420807123184, 'mixture_means_3': 0.00071625696728006, 'mixture_means_4': 0.0014352141879498959, 'mixture_means_5': 0.01540200412273407, 'mixture_scales_1': 0.00236998382024467, 'mixture_scales_2': 0.00023197481641545892, 'mixture_scales_3': 0.0068015833385288715, 'mixture_scales_4': 0.0031218300573527813, 'mixture_scales_5': 0.005231795832514763, 'learning_rate': 0.1853020188851842}
{'fold': 1, 'epoch': 1, 'batch': 18, 'train_loss': 1.0925273247994483, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 10.148398399353027, 'mixture_weights_1': 5.547226428985596, 'mixture_weights_2': 3.8442769050598145, 'mixture_weights_3': 5.81859827041626, 'mixture_weights_4': 6.082627296447754, 'mixture_weights_5': 4.2317938804626465, 'mixture_means_1': 0.0007214813376776874, 'mixture_means_2': 0.023527763783931732, 'mixture_means_3': 0.0007157684885896742, 'mixture_means_4': 0.0014356698375195265, 'mixture_means_5': 0.015471216291189194, 'mixture_scales_1': 0.0022405746858567, 'mixture_scales_2': 0.00022520073980558664, 'mixture_scales_3': 0.007000655401498079, 'mixture_scales_4': 0.0032168906182050705, 'mixture_scales_5': 0.005067533813416958, 'learning_rate': 0.16677181699666577}
{'fold': 1, 'epoch': 1, 'batch': 19, 'train_loss': 1.0964279543841258, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 10.156900405883789, 'mixture_weights_1': 5.613765239715576, 'mixture_weights_2': 3.858867645263672, 'mixture_weights_3': 5.857053279876709, 'mixture_weights_4': 6.13834285736084, 'mixture_weights_5': 4.240772724151611, 'mixture_means_1': 0.0007209182367660105, 'mixture_means_2': 0.023603731766343117, 'mixture_means_3': 0.0007153773331083357, 'mixture_means_4': 0.001436025951988995, 'mixture_means_5': 0.015523772686719894, 'mixture_scales_1': 0.002106878673657775, 'mixture_scales_2': 0.0002190897794207558, 'mixture_scales_3': 0.0071633621118962765, 'mixture_scales_4': 0.0032918304204940796, 'mixture_scales_5': 0.004882546607404947, 'learning_rate': 0.1500946352969992}
{'fold': 1, 'epoch': 1, 'batch': 20, 'train_loss': 1.0921721424674615, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 10.163520812988281, 'mixture_weights_1': 5.673181056976318, 'mixture_weights_2': 3.8705523014068604, 'mixture_weights_3': 5.888877868652344, 'mixture_weights_4': 6.1863789558410645, 'mixture_weights_5': 4.24617862701416, 'mixture_means_1': 0.0007204661378636956, 'mixture_means_2': 0.02366483584046364, 'mixture_means_3': 0.0007150627207010984, 'mixture_means_4': 0.0014363030204549432, 'mixture_means_5': 0.015563014894723892, 'mixture_scales_1': 0.0019748699851334095, 'mixture_scales_2': 0.00021351606119424105, 'mixture_scales_3': 0.007295975461602211, 'mixture_scales_4': 0.0033500315621495247, 'mixture_scales_5': 0.00468799052760005, 'learning_rate': 0.13508517176729928}
{'fold': 1, 'epoch': 1, 'batch': 21, 'train_loss': 1.0887841818621382, 'val_loss': nan, 'KPI_score': nan, 'train_RMSE': nan, 'train_mean_volatility': nan, 'train_variance_volatility': nan, 'train_variance_avg': nan, 'train_num_variance_collapses': nan, 'val_RMSE': nan, 'val_mean_volatility': nan, 'val_variance_volatility': nan, 'val_variance_avg': nan, 'val_num_variance_collapses': nan, 'kernel': 'SM', 'noise': 0.8999999761581421, 'constant': 10.168610572814941, 'mixture_weights_1': 5.726428985595703, 'mixture_weights_2': 3.8798842430114746, 'mixture_weights_3': 5.91525936126709, 'mixture_weights_4': 6.227921962738037, 'mixture_weights_5': 4.249004364013672, 'mixture_means_1': 0.0007201015832833946, 'mixture_means_2': 0.023713910952210426, 'mixture_means_3': 0.000714808760676533, 'mixture_means_4': 0.001436517690308392, 'mixture_means_5': 0.015591845847666264, 'mixture_scales_1': 0.0018495196709409356, 'mixture_scales_2': 0.0002084207662846893, 'mixture_scales_3': 0.007403785828500986, 'mixture_scales_4': 0.003394683822989464, 'mixture_scales_5': 0.004494229331612587, 'learning_rate': 0.12157665459056936}
